	N1	N2	N3	N4	N_Unx1	N_Unx2	N_Unx3	N_Unx4	N_P1x1	N_P1x2	N_P1x3	N_P1x4
AGAP002837	364	190	215	210	255	242	224	208	228	291	310	409
AGAP013007	38	42	36	19	18	27	19	38	10	10	10	19
AGAP006399	700	451	415	398	258	301	300	353	174	198	303	222
AGAP012144	3065	1735	2327	1898	1177	1360	965	901	1461	1648	1490	1837
AGAP004494	1462	1143	1194	745	6067	7915	7314	7041	3088	4720	3859	4210
AGAP010687	5973	4127	4377	4087	4147	3785	3892	4386	2984	3767	3338	3932
AGAP002175	2924	1759	2091	1970	1717	1843	1554	1639	1565	1908	1833	2131
AGAP009133	1635	836	1001	924	1457	1653	1402	1481	1203	1484	1683	1666
AGAP007705	3307	1619	2300	1924	1091	1121	781	905	1510	1427	1406	2168
AGAP012175	1298	1143	1162	1008	2176	2518	2694	2364	1472	2300	1799	2174
AGAP005551	4490	2697	2771	2709	1819	2033	1571	1796	1544	2154	2087	2252
AGAP000245	698	557	553	485	534	618	404	431	332	471	442	519
AGAP008191	514	310	390	416	653	1004	723	743	379	818	634	729
AGAP002188	51	28	23	23	57	90	118	97	18	48	42	35
AGAP013385	2788	1342	1817	1800	1459	1955	1198	1259	2227	2540	2517	3414
AGAP004993	32571	20605	24122	15797	13865	15975	14361	14451	11528	14829	10950	14030
AGAP001390	236	213	103	130	216	227	253	301	68	149	122	162
AGAP002428	11153	5911	7459	6373	5219	5078	3699	4487	3892	3646	3186	3479
AGAP010202	5974	3122	4403	3566	5303	6124	4930	4337	3774	6316	4155	6270
AGAP013515	692	297	411	355	159	213	171	179	280	267	307	285
AGAP007603	961	435	566	580	548	518	605	545	582	860	1026	943
AGAP008166	814	478	597	510	491	564	339	369	457	665	482	654
AGAP012329	7648	4958	4984	3779	1618	1765	1647	1661	1302	1177	1260	1085
AGAP013344	511	232	228	249	892	1787	2568	1343	279	670	507	499
AGAP008113	14657	9790	9817	8019	6338	7472	5627	7003	7175	5960	6454	7223
AGAP010253	8300	6798	5958	4457	2224	2347	2193	2015	3512	3323	3761	3802
AGAP002830	9462	14663	6051	5639	17590	14537	12111	22227	6371	5831	6223	8269
AGAP007955	803	440	535	522	354	405	312	349	275	486	493	506
AGAP004907	64	23	46	27	30	43	24	46	19	32	30	27
AGAP029524	921	575	562	569	916	1030	1038	818	781	1056	692	960
AGAP007979	303	121	150	120	98	71	77	49	69	92	76	83
AGAP003819	3489	1859	2003	1781	1025	1093	658	799	1184	1111	961	1181
AGAP006667	140	59	61	45	172	276	296	191	101	147	101	148
AGAP002089	391	252	234	211	911	898	757	788	256	523	309	368
AGAP029441	501	199	316	249	97	148	110	114	194	155	193	288
AGAP001878	1970	1000	1231	989	687	694	599	678	876	943	819	973
AGAP010928	804	669	620	425	499	531	344	477	405	528	531	560
AGAP001291	177	46	47	46	55	93	61	70	25	36	52	33
AGAP005704	59	13	6	9	2	9	4	2	0	1	0	2
AGAP009832	2284	1957	1514	1189	1124	1082	805	1003	1036	829	798	935
AGAP007689	3992	2175	2509	2385	1740	1966	1463	1356	1869	2444	1885	2439
AGAP012111	2066	1316	1572	1541	2056	1818	1877	1738	1794	2589	2078	1957
AGAP011305	286	123	230	313	62	127	146	42	409	917	605	785
AGAP003423	2651	1395	1622	1641	1497	1670	1130	1344	1060	1442	1443	1387
AGAP004176	5981	4436	5074	4837	3681	4395	3915	4356	3797	4196	4326	4390
AGAP004947	193	128	126	114	89	132	102	129	68	134	83	97
AGAP008653	45037	27440	27227	23097	24547	27681	16279	20230	15322	21217	16028	20659
AGAP028460	21	7	6	3	9	20	6	10	8	14	2	11
AGAP028213	47	6	6	8	2	0	4	5	0	13	2	2
AGAP006954	197	200	135	52	39	50	62	42	26	19	30	29
AGAP009174	1279	792	910	767	1202	1427	1290	1138	983	1662	1352	1384
AGAP001223	2507	1114	1818	1625	1624	1790	1197	1430	1965	2576	2237	2569
AGAP004504	8941	5494	5922	5237	4881	6210	4373	4368	4471	5516	5051	6532
AGAP029468	848	437	448	374	1689	2189	2253	1553	600	992	973	1013
AGAP002544	896	540	568	523	1201	1508	1385	1415	719	1313	1011	1178
AGAP005996	1452	1528	1101	725	240	391	241	186	203	251	268	365
AGAP005655	5024	3121	3537	2754	3149	2862	2518	3360	2567	4172	3209	3728
AGAP007817	1084	435	708	619	430	435	404	356	569	885	712	1071
AGAP004800	6416	3271	4027	3804	3748	3682	2484	3048	4974	5672	5123	6329
AGAP008285	680	340	516	471	367	426	378	328	354	547	475	511
AGAP007289	48	53	70	42	77	79	12	43	58	144	42	45
AGAP008553	4	2	1	3	11	14	3	10	2	13	3	13
AGAP005375	5841	3067	4101	3581	2943	3603	2445	2927	3914	4289	4093	5254
AGAP009734	184	97	97	78	113	145	159	107	76	138	63	95
AGAP007737	24252	16138	15150	11909	7005	8109	5018	7870	12113	9929	10972	11197
AGAP004968	308	262	148	142	230	385	350	332	133	210	183	147
AGAP003860	25258	17958	16973	13333	24882	29292	25747	33500	8208	16000	13689	15568
AGAP007546	826	446	606	476	460	436	465	491	491	646	551	602
AGAP006704	55	19	6	24	13	19	14	34	0	7	4	2
AGAP009624	15136	8241	10145	9239	10697	11676	8596	9238	11105	13892	12112	15333
AGAP008706	818	333	637	447	287	319	311	241	360	505	486	431
AGAP001864	2883	1931	1904	1513	444	450	274	188	530	476	309	471
AGAP004054	99	16	16	14	32	59	37	17	20	8	15	21
AGAP004961	150	63	63	67	54	31	68	77	54	67	43	63
AGAP005984	8887	11483	7398	6378	8613	9259	5783	8518	6441	6017	5435	7023
AGAP010364	24586	14227	13601	12450	21164	21859	11342	18116	14375	14525	10390	12945
AGAP000888	2384	1228	1481	1078	1020	933	886	1183	1180	1172	1115	1634
AGAP007165	253	347	280	103	56	32	25	17	144	106	30	47
AGAP005491	32	6	2	16	4	3	2	12	10	7	0	2
AGAP010184	1028	760	750	619	1494	1994	2014	1698	710	1182	870	1092
AGAP000226	38	7	6	12	4	9	12	24	2	4	5	19
AGAP003534	1436	877	973	809	292	334	297	252	438	433	336	550
AGAP005757	1462	1203	887	837	1325	1113	953	1458	586	869	611	922
AGAP011462	214	94	89	75	155	256	168	140	148	171	107	148
AGAP009002	274	142	142	82	412	548	527	445	136	237	134	176
AGAP028613	1798	1529	1028	1016	2903	5437	4603	4158	3319	4179	3380	5363
AGAP028005	254	157	224	209	126	113	78	91	178	304	354	313
AGAP007406	145503	88093	115346	103516	142112	156484	123819	144373	110946	162904	158297	164389
AGAP005183	174	157	71	80	298	448	553	437	210	231	219	299
AGAP002801	744	457	483	486	490	341	299	366	396	409	347	431
AGAP006418	20	18	16	9	14	27	14	25	4	23	0	25
AGAP004899	254	129	174	143	245	230	180	194	327	232	233	399
AGAP006160	693	316	437	402	318	472	415	308	459	519	507	501
AGAP001911	10996	5230	9982	5249	13921	13536	12011	14790	13849	14273	11161	15795
AGAP012690	68	42	37	35	32	21	38	31	106	47	43	50
AGAP008403	5736	3006	4129	3147	2367	1355	734	1873	1621	1263	1216	1243
